San Francisco, California, Maximum Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1946-2000
Missing: -99
Date,Value,Anomaly
194612,66.3,-0.6
194712,-99.0,-165.9
194812,65.8,-1.1
194912,65.6,-1.3
195012,66.9,0.0
195112,65.3,-1.6
195212,65.5,-1.4
195312,66.5,-0.4
195412,66.3,-0.6
195512,65.8,-1.1
195612,66.9,0.0
195712,67.4,0.5
195812,68.8,1.9
195912,69.3,2.4
196012,67.0,0.1
196112,67.4,0.5
196212,65.9,-1.0
196312,66.3,-0.6
196412,66.8,-0.1
196512,65.6,-1.3
196612,67.0,0.1
196712,67.5,0.6
196812,67.4,0.5
196912,67.2,0.3
197012,68.1,1.2
197112,66.1,-0.8
197212,66.5,-0.4
197312,67.0,0.1
197412,66.8,-0.1
197512,66.0,-0.9
197612,67.9,1.0
197712,66.8,-0.1
197812,67.7,0.8
197912,68.2,1.3
198012,67.9,1.0
198112,68.1,1.2
198212,65.7,-1.2
198312,67.9,1.0
198412,68.5,1.6
198512,66.6,-0.3
198612,67.4,0.5
198712,67.5,0.6
198812,68.2,1.3
198912,66.9,0.0
199012,66.9,0.0
199112,66.4,-0.5
199212,68.6,1.7
199312,68.2,1.3
199412,65.6,-1.3
199512,66.6,-0.3
199612,67.4,0.5
199712,67.9,1.0
199812,64.5,-2.4
199912,65.1,-1.8
200012,66.1,-0.8
200112,66.0,-0.9
200212,66.4,-0.5
200312,66.6,-0.3
200412,67.4,0.5
200512,66.7,-0.2
200612,66.0,-0.9
200712,66.0,-0.9
200812,66.3,-0.6
200912,66.6,-0.3
201012,66.4,-0.5
201112,65.2,-1.7
201212,65.9,-1.0
201312,67.0,0.1
201412,70.3,3.4
201512,68.8,1.9
201612,67.8,0.9
201712,68.5,1.6
201812,-99.0,-165.9
201912,67.6,0.7
202012,68.9,2.0
202112,66.9,0.0
